trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0.8,10.0,7.062698599998839,7.561805599980289,7.561805599980289,7.561805599980289,7.863271799986251,right,10.0,0,0,1.4164891999971587,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
1,0.8,10.8,8.996248599985847,9.496099499985576,9.496099499985576,9.496099499985576,9.795858600002248,right,10.8,1,1,7.239995700016152,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
2,0.8,10.0,16.76289660000475,17.26304469999741,17.26304469999741,17.26304469999741,17.56254089999129,right,10.0,1,1,0.7486610000196379,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
3,0.8,10.0,18.029045100003714,18.52901749999728,18.52901749999728,18.52901749999728,18.830031899997266,right,10.0,1,1,0.4972481000004336,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
4,0.8,10.0,19.046126600005664,19.545774500002153,19.545774500002153,19.545774500002153,19.846323499979917,left,-10.0,1,1,0.6179405000002589,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
5,0.8,9.2,20.179413999983808,20.679898499976844,20.679898499976844,20.679898499976844,20.979162300005555,left,-9.2,1,1,1.5017863000102807,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
6,0.8,9.2,22.21225609999965,22.695612999988953,22.695612999988953,22.695612999988953,22.995971700001974,right,9.2,1,1,0.6086089999880642,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
7,0.4,9.2,23.329503399989335,23.829089699982433,23.829089699982433,23.829089699982433,24.128923799988115,right,9.2,0,0,0.9634884000115562,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
8,0.4,9.6,24.81295299998601,25.31295079999836,25.31295079999836,25.31295079999836,25.613137899985304,right,9.6,1,1,0.7209481000027154,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
9,0.4,9.6,26.06258070000331,26.54628499998944,26.54628499998944,26.54628499998944,26.84623239998473,left,-9.6,1,1,0.8744864000182133,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
10,0.4,9.6,27.445972699992126,27.945735999994213,27.945735999994213,27.945735999994213,28.245872500003316,left,-9.6,0,0,0.9884893000125885,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
11,0.4,10.0,28.962787900003605,29.474488999985624,29.474488999985624,29.474488999985624,29.778895399998873,right,10.0,1,1,1.1290884000191,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
12,0.4,10.0,30.62892479999573,31.11256219999632,31.11256219999632,31.11256219999632,31.412163300003158,left,-10.0,0,0,0.7826111000031233,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
13,0.4,10.4,31.912363199982792,32.39566719997674,32.39566719997674,32.39566719997674,,left,-10.4,0,0,0.14887309999903664,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
14,0.4,10.8,32.562166799994884,33.04656319998321,33.04656319998321,33.04656319998321,,left,-10.8,0,0,0.14455500000622123,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
15,0.4,11.200000000000001,33.21249649999663,33.71276399999624,33.71276399999624,33.71276399999624,,right,11.200000000000001,1,1,0.015532000019447878,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
16,0.4,11.200000000000001,33.745866599987494,34.24657869999646,34.24657869999646,34.24657869999646,,right,11.200000000000001,1,1,0.041608700004871935,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
17,0.4,11.200000000000001,34.31332200000179,34.79621229998884,34.79621229998884,34.79621229998884,,left,-11.200000000000001,0,0,0.08186000000569038,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
18,0.4,11.600000000000001,34.89622039999813,35.39633619997767,35.39633619997767,35.39633619997767,,left,-11.600000000000001,0,0,0.08245699998224154,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
19,0.4,12.000000000000002,35.49604189998354,35.995702199987136,35.995702199987136,35.995702199987136,,left,-12.000000000000002,0,0,0.07126040000002831,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
20,0.4,12.400000000000002,36.09593589999713,36.59552489998168,36.59552489998168,36.59552489998168,,left,-12.400000000000002,0,0,0.06129280000459403,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
21,0.4,12.800000000000002,36.679730100004235,37.163391499983845,37.163391499983845,37.163391499983845,,right,12.800000000000002,1,1,0.09905009999056347,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
22,0.4,12.800000000000002,37.279158699995605,37.778996499982895,37.778996499982895,37.778996499982895,38.07902279999689,left,-12.800000000000002,0,0,0.6033455999859143,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
23,0.4,13.200000000000003,38.41230070000165,38.896205900004134,38.896205900004134,38.896205900004134,,left,-13.200000000000003,0,0,0.07264030000078492,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
24,0.4,13.600000000000003,38.99573149997741,39.49612880000495,39.49612880000495,39.49612880000495,,right,13.600000000000003,1,1,0.12390619999496266,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
25,0.4,13.600000000000003,39.6463267999934,40.14608350000344,40.14608350000344,40.14608350000344,,right,13.600000000000003,1,1,0.11671239999122918,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
26,0.4,13.600000000000003,40.29554189997725,40.779109700000845,40.779109700000845,40.779109700000845,,right,13.600000000000003,1,1,0.0871140000235755,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
27,0.2,13.200000000000003,40.89571959999739,41.379040999978315,41.379040999978315,41.379040999978315,,left,-13.200000000000003,0,0,0.06396390000008978,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
28,0.2,13.400000000000002,41.46214239997789,41.96231129998341,41.96231129998341,41.96231129998341,,left,-13.400000000000002,0,0,0.048594599997159094,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
29,0.2,13.600000000000001,42.02895669999998,42.52904779999517,42.52904779999517,42.52904779999517,,left,-13.600000000000001,0,0,0.0019927000103052706,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
30,0.2,13.8,42.56243799999356,43.04565879999427,43.04565879999427,43.04565879999427,43.345727999985684,left,-13.8,0,0,0.45537350000813603,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
31,0.2,14.0,43.52933789999224,44.02912910000305,44.02912910000305,44.02912910000305,44.32881029997952,left,-14.0,0,0,0.5751521000056528,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
32,0.2,14.2,44.62900200000149,45.112758499977645,45.112758499977645,45.112758499977645,,left,-14.2,0,0,0.06242689999635331,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
33,0.2,14.399999999999999,45.19606809999095,45.6956314999843,45.6956314999843,45.6956314999843,,left,-14.399999999999999,0,0,0.03237500000977889,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
34,0.2,14.599999999999998,45.74578810000094,46.22900739999022,46.22900739999022,46.22900739999022,,right,14.599999999999998,1,1,0.05662829999346286,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
35,0.2,14.599999999999998,46.312174199993024,46.795595200004755,46.795595200004755,46.795595200004755,,left,-14.599999999999998,0,0,0.08815130000584759,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
36,0.2,14.799999999999997,46.91211959999055,47.39550829998916,47.39550829998916,47.39550829998916,47.69554529999732,right,14.799999999999997,1,1,0.5189623000042047,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
37,0.2,14.799999999999997,47.945940000005066,48.42915119999088,48.42915119999088,48.42915119999088,48.72881010000128,left,-14.799999999999997,0,0,0.45805260000634007,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
38,0.2,14.999999999999996,48.91218220000155,49.39550099999178,49.39550099999178,49.39550099999178,49.696352800005116,left,-14.999999999999996,0,0,0.37819729998591356,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
39,0.2,15.199999999999996,49.795735499996226,50.279481299978215,50.279481299978215,50.279481299978215,50.579053399997065,right,15.199999999999996,1,1,0.5230520000040997,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
40,0.2,15.199999999999996,50.82907479998539,51.313892499980284,51.313892499980284,51.313892499980284,51.63012629997684,right,15.199999999999996,1,1,0.39728220002143644,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
41,0.2,15.199999999999996,51.728855399996974,52.213082200003555,52.213082200003555,52.213082200003555,52.51289869999164,right,15.199999999999996,1,1,0.3158582999894861,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
42,0.2,14.999999999999996,52.54609029999119,53.04613849997986,53.04613849997986,53.04613849997986,,left,-14.999999999999996,0,0,0.233531599980779,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
43,0.2,15.199999999999996,53.31236939999508,53.79578009998659,53.79578009998659,53.79578009998659,,right,15.199999999999996,1,1,0.15103859998635016,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
44,0.2,15.199999999999996,53.979595399985556,54.48046429999522,54.48046429999522,54.48046429999522,,left,-15.199999999999996,0,0,0.07461869998951443,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
45,0.2,15.399999999999995,54.5795259999868,55.08071690000361,55.08071690000361,55.08071690000361,,left,-15.399999999999995,0,0,0.025067900016438216,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
46,0.2,15.599999999999994,55.1295972999942,55.62900029998855,55.62900029998855,55.62900029998855,,right,15.599999999999994,1,1,0.03307870001299307,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
47,0.2,15.599999999999994,55.67898269998841,56.162983099988196,56.162983099988196,56.162983099988196,56.4627314999816,right,15.599999999999994,1,1,0.5470628000039142,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
48,0.2,15.599999999999994,56.72890289998031,57.229072099988116,57.229072099988116,57.229072099988116,,right,15.599999999999994,1,1,0.035866000020178035,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
49,0.2,15.399999999999995,57.295428599987645,57.77992719999747,57.77992719999747,57.77992719999747,58.09565659999498,left,-15.399999999999995,0,0,0.33434739999938756,874013,001,2023-09-06_20h17.59.326,adaptive_staircase,2023.1.3,59.63679996192852,
